word,entry_type_code,region_code,source_code,note
beauty salons,phrase,uk,oald_8,
beauty school,phrase,name,oald_8,
beauty schools,phrase,name,oald_8,
beauty shop,phrase,name,oald_8,
beauty shops,phrase,name,oald_8,
beauty spot,phrase,name,oald_8,Acceptable in both British and North American English
beauty spot,phrase,uk,oald_8,Acceptable in both British and North American English
beauty spots,phrase,name,oald_8,Acceptable in both British and North American English
beauty spots,phrase,uk,oald_8,Acceptable in both British and North American English
beaver away,phrase,uk,opvd_2,
beavered away,phrase,uk,opvd_2,
beavering away,phrase,uk,opvd_2,
beavers away,phrase,uk,opvd_2,
beck,root,uk,oald_8,
bed and board,phrase,uk,oald_8,
bedcover,root,uk,oald_8,
beddy-eyes,inflection,uk,mwcd_11,
bedeviled,inflection,us,oald_8,
bedeviling,inflection,us,oald_8,
bedroom communitis,phrase,name,oald_8,
bedroom community,phrase,name,oald_8,
bedroom suburb,phrase,name,oald_8,
bedroom suburbs,phrase,name,oald_8,
bedsit,root,uk,oald_8,
bedsitter,root,uk,oald_8,
bedsitting room,phrase,uk,oald_8,
bedsitting rooms,phrase,uk,oald_8,
beef tea,phrase,uk,oald_8,
beef teas,phrase,uk,oald_8,
beef tomato,phrase,uk,oald_8,
beef tomatos,phrase,uk,oald_8,
beefsteak tomato,phrase,name,oald_8,
beefsteak tomatos,phrase,name,oald_8,
been buddied up,phrase,us,opvd_2,
been on about,phrase,uk,opvd_2,
been on at,phrase,uk,opvd_2,
been through with,phrase,us,opvd_2,
been-to,root,wafr,oald_8,
beeper,root,name,oald_8,
beer mat,phrase,uk,oald_8,
beer mats,phrase,uk,oald_8,
beetroot,root,uk,oald_8,
behavior,root,us,oald_8,
behavioral,root,us,oald_8,
behaviorally,root,us,oald_8,
behaviorism,root,us,mwcd_11,
behaviorist,root,us,mwcd_11,
behoove,root,name,oald_8,
behove,root,uk,oald_8,
being buddied up,phrase,us,opvd_2,
bejeweled,inflection,us,oald_8,
belabor,root,us,oald_8,
bell pepper,phrase,name,oald_8,
bell peppers,phrase,name,oald_8,
bell push,phrase,uk,oald_8,
bell pushes,phrase,uk,oald_8,
bellboy,root,name,oald_8,
bellhop,root,name,oald_8,
belt down,phrase,us,opvd_2,
belt up,phrase,uk,opvd_2,
belt way,phrase,name,oald_8,
belt ways,phrase,name,oald_8,
belted down,phrase,name,opvd_2,
belted up,phrase,name,opvd_2,
belting down,phrase,name,opvd_2,
belting up,phrase,name,opvd_2,
belts down,phrase,name,opvd_2,
belts up,phrase,name,opvd_2,
beltway,root,us,oald_8,
benchwarmer,root,uk,oald_8,
bendy,root,uk,oald_8,
bendy bus,phrase,uk,oald_8,
bendy busses,phrase,uk,oald_8,
berlinder,root,uk,oald_8,
best-before date,phrase,uk,oald_8,
best-before dates,phrase,uk,oald_8,
betting shop,phrase,uk,oald_8,
betting shops,phrase,uk,oald_8,
beveled,inflection,us,oald_8,
bhagwan,root,ind,oald_8,
bhai,root,ind,oald_8,
bhavan,root,ind,oald_8,
bib overalls,phrase,name,oald_8,
bicentenary,root,uk,oald_8,
bicentennial,root,name,oald_8,
bicoastal,root,name,oald_8,
bicycle lane,phrase,name,oald_8,
bicycle lanes,phrase,name,oald_8,
big box,phrase,name,oald_8,
big boxes,phrase,name,oald_8,
big bucks,phrase,name,oald_8,
big dipper,phrase,uk,oald_8,
big dippers,phrase,uk,oald_8,
big it up,phrase,uk,opvd_2,
big league,phrase,name,oald_8,
big leagues,phrase,name,oald_8,
big liner,phrase,uk,oald_8,
big liners,phrase,uk,oald_8,
big man on campus,phrase,name,oald_8,
big muddy,phrase,us,oald_8,
big up,phrase,uk,opvd_2,
big-box store,phrase,name,oald_8,
big-box stores,phrase,name,oald_8,
big-league,root,name,oald_8,
big-ticket,root,name,oald_8,
bigged it up,phrase,name,opvd_2,
bigged up,phrase,name,opvd_2,
bigging it up,phrase,name,opvd_2,
bigging up,phrase,name,opvd_2,
bigs,inflection,name,oald_8,
bigs it up,phrase,name,opvd_2,
bigs up,phrase,name,opvd_2,
bijou,root,uk,oald_8,
bike lane,phrase,name,oald_8,
bike lanes,phrase,name,oald_8,
bikie,root,austral,oald_8,
bikie,root,nz,oald_8,
billboard,root,name,oald_8,
billy club,phrase,name,oald_8,
billy clubs,phrase,name,oald_8,
biltong,root,safr,oald_8,
bin bag,phrase,uk,oald_8,
bin bags,phrase,uk,oald_8,
bingo wings,phrase,uk,oald_8,
binman,root,uk,oald_8,
bint,root,uk,oald_8,
biracial,root,name,oald_8,
bird dog,phrase,name,oald_8,
bird dogs,phrase,name,oald_8,
bird table,phrase,uk,oald_8,
bird tables,phrase,uk,oald_8,
biro,root,uk,oald_8,
bitch out,phrase,us,opvd_2,
bitched out,phrase,us,opvd_2,
bitches out,phrase,us,opvd_2,
bitchin',root,name,oald_8,
bitching,root,name,oald_8,
bitching out,phrase,name,opvd_2,
bitter lemon,phrase,uk,oald_8,
bitter-sweet,root,uk,oald_8,
bitty,root,uk,oald_8,
bitzer,root,austral,oald_8,
bitzer,root,nz,oald_8,
black cab,phrase,uk,oald_8,
black cabs,phrase,uk,oald_8,
black gold,phrase,name,oald_8,
black lung,phrase,name,oald_8,
black lungs,phrase,name,oald_8,
black mark,phrase,uk,oald_8,
black marks,phrase,uk,oald_8,
black pudding,phrase,uk,oald_8,
black puddings,phrase,uk,oald_8,
black spot,phrase,uk,oald_8,
black spots,phrase,uk,oald_8,
blackguard,root,uk,oald_8,
blackleg,root,uk,oald_8,
blacktop,root,name,oald_8,
blag,root,uk,oald_8,
blancmange,root,uk,oald_8,
blank check,phrase,name,oald_8,
blank checks,phrase,name,oald_8,
blank cheque,phrase,uk,oald_8,
blank cheques,phrase,uk,oald_8,
blank out,phrase,uk,opvd_2,
blanked out,phrase,uk,opvd_2,
blanket bath,phrase,uk,oald_8,
blanking out,phrase,uk,opvd_2,
blanks out,phrase,uk,opvd_2,
bleachers,inflection,name,oald_8,
bleeder,root,uk,oald_8,
bleeding,root,uk,oald_8,
blench,root,uk,oald_8,
blew off,phrase,uk,opvd_2,
blew off,phrase,uk,opvd_2,
blew out,phrase,uk,opvd_2,
blew out for,phrase,uk,opvd_2,
blighter,root,uk,oald_8,
blighty,root,uk,oald_8,
blimp out,phrase,uk,opvd_2,
blimp up,phrase,uk,opvd_2,
blimped out,phrase,uk,opvd_2,
blimped up,phrase,uk,opvd_2,
blimping out,phrase,uk,opvd_2,
blimping up,phrase,uk,opvd_2,
blimps out,phrase,uk,opvd_2,
blimps up,phrase,uk,opvd_2,
blind man's buff,phrase,uk,oald_8,
blinders,inflection,name,oald_8,
blindside,root,name,oald_8,
blinking,root,uk,oald_8,
